,address,at_street,description,latitude,location_type,longitude,municipality,name,on_street,platform_code,platform_name,vehicle_type,wheelchair_boarding
24486,,,,42.365535,0,-71.09133,Cambridge,Broadway @ Hampshire St,Broadway,,,3.0,1
8556,,Dedham Street,,42.29468,0,-71.178978,Newton,Spiers Rd @ Dedham St,Spiers Road,,,3.0,1
door-pktrm-exitashbrain,,,Park Street - Escalator to Tremont St (South),42.355976,2,-71.062427,Boston,Park Street - Escalator to Tremont St (South),,,,,2
3124,,,,42.273004,0,-71.031092,Quincy,W Squantum St @ Farrington St,West Squantum Street,,,3.0,1
node-dwnxg-112fare-paid,,,Downtown Crossing - Paid side of exit-only gate,,3,,Boston,Downtown Crossing,,,,,1
32004,,,Quincy Center - Berth 4,42.251908,0,-71.0052,Quincy,Quincy Center,Busway,,Berth 4,3.0,1
1616,,Crown Point Drive,,42.257411,0,-71.146391,Boston,Margaretta Dr @ Crown Point Dr,Margaretta Drive,,,3.0,1
node-sstat-north-farepaid,,,South Station - Paid side of fare gates,,3,,Boston,South Station,,,,,1
4554,,Powder House Lane,,42.514019,0,-70.906524,Salem,Opp 30 Highland Ave,Highland Avenue,,,3.0,0
38481,,Trescott Street,,42.238055,0,-71.002967,Quincy,Franklin St opp Trescott St,Franklin Street,,,3.0,1
2406,,Dearborn Road,,42.4052,0,-71.117309,Somerville,College Ave @ Dearborn Rd,College Avenue,,,3.0,1
2128,,Poplar Street,,42.381743,0,-71.178011,Belmont,Trapelo Rd opp Poplar St,Trapelo Road,,,3.0,1
1268,,,,42.348224,0,-71.149882,Boston,Washington St @ Shepard St,Washington Street,,,3.0,1
6230,,Jasper Street,,42.462849,0,-71.009496,Saugus,Central St @ Jasper St,Central Street,,,3.0,1
node-149-lobby,,,Tufts Medical Center - Top of Escalator 149,,3,,Boston,Tufts Medical Center,,,,,1
5250,,Ardale Street,,42.29326,0,-71.13749,Boston,1437 Centre St opp Ardale St,Centre Street,,,3.0,1
171,,Columbus Avenue,,42.348569,0,-71.071717,Boston,Berkeley St @ Columbus Ave,Berkeley Street,,,3.0,1
16132,,Burrill Street,,42.475691,0,-70.922283,Swampscott,Essex St opp Burrill St,Essex Street,,,3.0,1
1475,,Cameron Street,,42.311233,0,-71.062553,Boston,Hancock St @ Bowdoin St,Hancock Street,,,3.0,1
5460,,Salem Place,,42.430118,0,-71.059667,Malden,Salem St @ Salem Pl,Salem Street,,,3.0,1
6739,,Hayes Street,,42.470654,0,-70.991878,Lynn,Garfield Ave @ Hayes St,Garfield Avenue,,,3.0,1
84791,,Walsh Road,,42.289995,0,-71.191092,Newton,Sawmill Brook Pkwy @ Walsh Rd,Sawmill Brook Parkway,,,3.0,1
4376,,Huntington Road,,42.256122,0,-71.046067,Milton,Edge Hill Rd @ Huntington Rd,Edgehill Road,,,3.0,1
7774,,Brookway Road,,42.404137,0,-71.234024,Waltham,Lexington St @ Brookway Rd,Lexington Street,,,3.0,1
14822,,Alden Road,,42.469623,0,-70.896067,Swampscott,Humphrey St @ Alden Rd,Humphrey Street,,,3.0,1
node-rcmnl-134-platform,,,Roxbury Crossing - Bottom of Escalator 134,42.331132,3,-71.095658,Boston,Roxbury Crossing,,,,,1
place-kntst,"Beacon St and Powell St, Brookline, MA",,,42.344074,1,-71.114197,Brookline,Kent Street,,,,,2
111152,,Highland Avenue,,42.303427,0,-70.913293,Hull,Main St from Pemberton Pnt to Spring St (FLAG),Main Street,,,3.0,1
49157,,,,42.407864,0,-71.093296,Medford,61 Locust St,Locust Street,,,3.0,1
door-symcl-huntw,,,"Symphony - Massachusetts Ave, Huntington Ave (West)",42.342822,2,-71.085185,Boston,"Symphony - Massachusetts Ave, Huntington Ave (West)",,,,,2
2395,,McGrath Highway,,42.386513,0,-71.090342,Somerville,Pearl St @ McGrath Hwy,Pearl Street,,,3.0,1
1621,,Georgetowne Drive,,42.259345,0,-71.145404,Boston,W Boundary Rd @ Georgetowne Dr,West Boundary Road,,,3.0,1
node-davis-341stair-lobby,,,Davis - Top of northern stairs for platform,,3,,Somerville,Davis,,,,,1
place-NEC-2108,"1 Upland Rd, Sharon, MA 02067",,,42.124553,1,-71.184468,Sharon,Sharon,,,,,1
node-lbusstairs-upper,,,Sullivan Square - Top of stairs for lower busway,,3,,Boston,Sullivan Square,,,,,1
5088,,Tucker Street,,42.438855,0,-71.089402,Medford,Highland Ave @ Tucker St,Highland Avenue,,,3.0,1
node-chels-thirdnorth-top,,,Chelsea - Top of ramp between Third St and Boston-bound platform,42.397625,3,-71.043811,Chelsea,Chelsea,,,,,1
4087,,Rockdale Street,,42.226198,0,-71.031754,Braintree,Granite St @ Braintree Hill Pk,Granite Street,,,3.0,1
3405,,Furnace Avenue,,42.245243,0,-71.027985,Quincy,Copeland St @ Furnace Ave,Copeland Street,,,3.0,1
node-wlsta-lobbysteps-upper,,,Wollaston - Top of stairs between Newport Avenue and parking lobbies,,3,,Quincy,Wollaston,,,,,1
4147,,Unnamed Road,,42.252277,0,-71.075258,Milton,Opp 202 Reedsdale Rd @ MIlton Hospital,Reedsdale Road,,,3.0,1
3034,,Butler Road,,42.257445,0,-71.008194,Quincy,Hancock St opp Butler Rd,Hancock Street,,,3.0,1
1812,,Putnam Avenue,,42.357438,0,-71.107841,Cambridge,Brookline St @ Putnam Ave,Brookline Street,,,3.0,1
node-867-lobby,,,Broadway - Top of platform elevator,,3,,Boston,Broadway,,,,,1
5347,,Cross Street,,42.421724,0,-71.058851,Malden,Ferry St @ Cross St,Ferry Street,,,3.0,1
3382,,Thistle Avenue,,42.271453,0,-71.047956,Milton,Granite Ave opp Thistle Ave,Granite Avenue,,,3.0,1
9070114,,Chiswick Road,Chiswick Road - Green Line Park Street & North Shuttle - Commonwealth Ave @ Chiswick Rd,42.340378,0,-71.150962,Boston,Chiswick Road - Commonwealth Ave @ Chiswick Rd,Commonwealth Avenue,,Park Street & North Shuttle,3.0,1
109892,,Pleasant Street,,42.37431,0,-70.991123,Winthrop,Pauline St @ Pleasant St,Pauline Street,,,3.0,1
6839,,Brook Street,,42.471801,0,-70.930928,Lynn,86 Timson St,Timson Street,,,3.0,1
7898,,Hartwell Avenue,,42.476175,0,-71.251528,Lexington,Bedford St @ Hartwell Ave,Bedford Street,,,3.0,1
node-fldcr-fareunpaid,,,Fields Corner - Unpaid side of fare gates,42.300049,3,-71.061699,Boston,Fields Corner,,,,,1
node-state-statestreetstairs-lobby,,,State - Bottom of stairs between lobby and City Hall,,3,,Boston,State,,,,,1
5274,,Second Street,,42.412252,0,-71.084731,Medford,Fellsway @ Second St,Fellsway,,,3.0,1
4498,,Albert J Brown Circle,,42.420606,0,-71.003376,Revere,462 American Legion Hwy,American Legion Highway,,,3.0,1
4523,,Stanley Terrace,,42.460699,0,-70.967777,Lynn,Western Ave @ Walden St,Western Avenue,,,3.0,1
2139,,Cottage Street,,42.394334,0,-71.170817,Belmont,Concord Ave @ Cottage St,Concord Avenue,,,3.0,1
3284,,Algonquin Road,,42.262293,0,-70.989019,Quincy,Sea St @ Algonquin Rd,Sea Street,,,3.0,1
4490,,Minot Street,,42.457611,0,-70.971438,Lynn,Western Ave @ Albion St,Western Avenue,,,3.0,1
1154,,Bromley Street,,42.325366,0,-71.099579,Boston,Heath St @ Bromley St,Heath Street,,,3.0,1
31391,,Gainsborough Street,,42.341443,0,-71.086788,Boston,Huntington Ave @ Gainsborough St,Huntington Avenue,,,3.0,1
822,,Bogandale Road,,42.276483,0,-71.160531,Boston,Centre St @ Autumn St,Centre Street,,,3.0,1
5653,,Cross Street,,42.39055,0,-71.03815,Chelsea,Broadway opp Cross St,Broadway,,,3.0,1
door-bbsta-underpass,,,Back Bay - Underpass to Copley Place,42.347273,2,-71.076565,Boston,Back Bay - Underpass to Copley Place,,,,,2
3864,,West Street,,42.215052,0,-71.004547,Braintree,Washington St @ West St,Washington Street,,,3.0,1
NB-0137-S,,,Needham Heights - Commuter Rail - Track 1 (All Trains),42.293444,0,-71.236027,Needham,Needham Heights,,1,Track 1 (All Trains),2.0,1
4892,,Atlantic Street,,42.464347,0,-70.934505,Lynn,Lewis St @ Chestnut St,Lewis Street,,,3.0,1
3143,,East Squantum Street,,42.29687,0,-71.014445,Quincy,Huckins Ave @ E Squantum St,Huckins Avenue,,,3.0,1
place-GB-0296,"290 Essex Ave, Gloucester, MA 01930",,,42.611933,1,-70.705417,Gloucester,West Gloucester,,,,,1
node-wondl-oceanramp-bottom,,,Wonderland - Street level of Ocean Ave ramp,42.413377,3,-70.990498,Revere,Wonderland,,,,,1
4885,,Rock Avenue,,42.469272,0,-70.922852,Swampscott,New Ocean St opp Rock Ave,New Ocean Street,,,3.0,1
node-davis-colstairlow-middle,,,Davis - Top of lower stairs for College Avenue,,3,,Somerville,Davis,,,,,1
3256,,Malvern Street,,42.265772,0,-70.961911,Quincy,Sea St opp Malvern St,Sea Street,,,3.0,1
1191,,,,42.357458,0,-71.128045,Boston,Cambridge St @ Lincoln St,Cambridge Street,,,3.0,1
8681,,King Street,,42.293028,0,-71.057347,Boston,Adams St @ King St,Adams Street,,,3.0,1
door-welln-garage,,,"Wellington - Station Landing, Garage",42.402461,2,-71.080092,Medford,"Wellington - Station Landing, Garage",,,,,1
FR-0301,,,Littleton/Route 495 - Commuter Rail,42.519236,0,-71.502643,Littleton,Littleton/Route 495,,,Commuter Rail,2.0,1
121014,,,,42.207886,0,-71.124052,Canton,Royall St @ JW Foster Blvd,Royall Street,,,3.0,1
2203,,Ramp - Frontage Rd To Rt 2 Westbound,,42.414845,0,-71.191827,Arlington,West Service Rd @ Florence Ave,Frontage Road,,,3.0,1
node-chncl-ogfarepaid,,,Chinatown - Paid side of fare gates,,3,,Boston,Chinatown,,,,,1
2044,,Patten Street,,42.366608,0,-71.181318,Watertown,Mt Auburn St @ Summer St,Mount Auburn Street,,,3.0,1
188,,,,42.34157,0,-71.083092,Boston,Massachusetts Ave @ Massachusetts Ave Station,Massachusetts Avenue,,,3.0,1
1688,,,,42.481169,0,-71.186437,Burlington,Cambridge St @ Ray Ave,Cambridge Street,,,3.0,1
8169,,Crafts Street,,42.356766,0,-71.206749,Newton,Watertown St @ Crafts St,Watertown Street,,,3.0,1
77375,,Beech Street,,42.367514,0,-71.235743,Waltham,High St @ Beech St,High Street,,,3.0,1
15857,,Orleans Street,,42.368109,0,-71.038158,Boston,Sumner St @ Orleans St,Sumner Street,,,3.0,1
7269,,,,42.540734,0,-70.945123,Peabody,Northshore Mall @ Entrance F,,,,3.0,1
9145,,Arden Road,,42.431377,0,-71.130914,Medford,Winthrop St @ Playstead Rd,Winthrop Street,,,3.0,1
6756,,Boston Street,,42.463753,0,-70.976015,Lynn,Myrtle St @ Boston St,Myrtle Street,,,3.0,1
door-knncl-sbcarleton,,,Kendall/MIT - Carleton St,42.362005,2,-71.086255,Cambridge,Kendall/MIT - Carleton St,,,,,2
7914,,Hillside Avenue,,42.427756,0,-71.201908,Lexington,430 Massachusetts Ave,Massachusetts Avenue,,,3.0,1
6178,,Palmer Street,,42.515362,0,-70.892584,Salem,Lafayette St @ Palmer St,Lafayette Street,,,3.0,1
2750,,Pearl Street,,42.38578,0,-71.087844,Somerville,Cross St @ Pearl St,Cross Street,,,3.0,1
70051,,,Orient Heights - Blue Line - Bowdoin,42.386909,0,-71.004809,Boston,Orient Heights,,,Bowdoin,1.0,1
4609,,Margin Street Court,,42.539954,0,-70.918699,Peabody,Margin St opp Margin St Ct,Margin Street,,,3.0,1
630,,Brahms Street,,42.276717,0,-71.138763,Boston,Washington St @ Blue Ledge Dr,Washington Street,,,3.0,1
23823,,Rockway Avenue,,42.190805,0,-70.951359,Weymouth,Middle St opp Rockaway Ave,Middle Street,,,3.0,1
6603,,Baltimore Street,,42.461609,0,-70.937398,Lynn,Nahant St @ W Baltimore St,Nahant Street,,,3.0,1
node-shmnl-sydstair-lobby,,,Savin Hill - Top of stairs between Sydney Street and lobby,42.310838,3,-71.053681,Boston,Savin Hill,,,,,1
1029,,Commonwealth Avenue,,42.338312,0,-71.153451,Boston,Chestnut Hill Ave @ Commonwealth Ave,Chestnut Hill Avenue,,,3.0,1
MM-0356-S,,,Middleborough/Lakeville - Commuter Rail - Track 1 (All Trains),41.87821,0,-70.918444,Lakeville,Middleborough/Lakeville,,1,Track 1 (All Trains),2.0,1
node-938-platform,,,Courthouse - Bottom of elevator between outbound platform and lobby,,3,,Boston,Courthouse,,,,,1
1186,,Westminster Avenue,,42.317182,0,-71.097046,Boston,Washington St @ Bray St,Washington Street,,,3.0,1
8483,,McCarthy Road,,42.296307,0,-71.186386,Newton,Wiswall Rd @ McCarthy Rd,Wiswall Road,,,3.0,1
3088,,Adams Street,,42.298223,0,-71.057257,Boston,Gibson St @ Adams St,Gibson Street,,,3.0,1
4912,,Fuller Terrace,,42.467182,0,-70.913713,Swampscott,260 Humphrey St,Humphrey Street,,,3.0,1
849,,Burard Street,,42.285967,0,-71.163863,Boston,Lagrange St opp Burard St,La Grange Street,,,3.0,1
door-brkhl-bhs,,,Brookline Hills - Tappan St (West),42.331446,2,-71.127064,Brookline,Brookline Hills - Tappan St (West),,,,,1
8547,,McCarthy Road,,42.296122,0,-71.187017,Newton,Wiswall Rd opp McCarthy Rd,Wiswall Road,,,3.0,1
23530,,Brunswick Road,,42.406486,0,-71.162733,Arlington,244 Pleasant St opp Brunswick Rd,Pleasant Street,,,3.0,1
5047,,Main Street,,42.415184,0,-71.064193,Malden,Belmont St @ Main St,Belmont Street,,,3.0,1
FR-0394-B1,,Phoenix Street,Shirley - Commuter Rail Boston Shuttle - Front St @ Phoenix St,42.54485,0,-71.647958,Shirley,Shirley - Front St @ Phoenix St,Front Street,,Boston Shuttle,3.0,1
3069,,King Street,,42.294329,0,-71.052328,Boston,Neponset Ave @ King St,Neponset Avenue,,,3.0,1
node-sstat-ashbrain-fareunpaid,,,South Station - Unpaid side of exit-only gates,,3,,Boston,South Station,,,,,1
1843,,Maple Street,,42.291526,0,-71.157421,Boston,Weld St @ Maple St,Weld Street,,,3.0,1
2082,,Lakeview Avenue,,42.380851,0,-71.140111,Cambridge,Huron Ave @ Lakeview Ave,Huron Avenue,,,3.0,1
3843,,Winthrop Park,,42.243849,0,-70.98963,Quincy,South St @ Winthrop Pk,South Street,,,3.0,1
70178,,,Brookline Hills - Green Line - Park Street & North,42.331293,0,-71.126406,Brookline,Brookline Hills,,,Park Street & North,0.0,1
619,,Rockland Street,,42.258509,0,-71.160255,Boston,Washington St @ Rockland Towers,Washington Street,,,3.0,1
18542,,Rosalie Road,,42.302033,0,-71.190013,Newton,Dedham St opp Rosalie Rd,Dedham Street,,,3.0,1
3356,,Pilgrim Road,,42.256932,0,-71.03545,Milton,Adams St @ Washington St,Adams Street,,,3.0,1
5245,,Allandale Street,,42.300839,0,-71.127376,Boston,Centre St @ Faulkner Hospital,Centre Street,,,3.0,1
place-fldcr,"50 Freeman St, Dorchester, MA 02122",,,42.300093,1,-71.061667,Boston,Fields Corner,,,,,1
node-448-bridge,,,Wollaston - Top of escalator from parking lobby to bridge,,3,,Quincy,Wollaston,,,,,1
node-jfk-ashcolstair-platform,,,"JFK/UMass - Bottom of stairs from Ashmont, Alewife platform and Columbia Road",42.321173,3,-71.052577,Boston,JFK/UMass,,,,,1
node-river-estairs-lobby,,,Riverside - Top of stairs for Grove Street,42.337291,3,-71.252617,Newton,Riverside,,,,,1
node-762-bottom,,,Lechmere - Bottom of North First St Elevator 762,42.371655,3,-71.076675,Cambridge,Lechmere,,,,,1
6315,,Madison Street,,42.422941,0,-71.134416,Medford,Playstead Rd opp Madison St,Playstead Road,,,3.0,1
39691,,Union Street,,42.213364,0,-70.988413,Braintree,Middle St @ Union St,Middle Street,,,3.0,1
node-405-street,,,Aquarium - Top of escalator from Atlantic Avenue to lobby,,3,,Boston,Aquarium,,,,,1
place-DB-0095,"1800 Hyde Park Ave, Hyde Park, MA 02136",,,42.238405,1,-71.133246,Boston,Readville,,,,,1
1027,,Englewood Avenue,,42.337121,0,-71.152079,Boston,Chestnut Hill Ave @ Englewood Ave,Chestnut Hill Avenue,,,3.0,1
node-rugg-bus1stairs-lobby,,,Ruggles - Top of Lower Busway Lane 1 stairs,,3,,Boston,Ruggles,,,,,1
door-mvbcl-square,,,"Maverick - Sumner St, Maverick Square",42.369193,2,-71.0395,Boston,"Maverick - Sumner St, Maverick Square",,,,,1
2223,,Inman Street,,42.370062,0,-71.102797,Cambridge,Broadway @ Inman St,Broadway,,,3.0,1
2061,,Keenan Street,,42.37273,0,-71.154963,Watertown,Mt Auburn St opp Keenan St,Mount Auburn Street,,,3.0,1
882,,Richmond Street,,42.274026,0,-71.067521,Boston,Dorchester Ave @ Richmond St,Dorchester Avenue,,,3.0,1
4189,,Warren Street,,42.165748,0,-71.043483,Randolph,N Main St @ Warren St,North Main Street,,,3.0,1
3375,,Hutchinson Street,,42.280178,0,-71.064545,Boston,Gallivan Blvd @ Hutchinson St,Gallivan Boulevard,,,3.0,1
2689,,,,42.382606,0,-71.091137,Somerville,422 McGrath Hwy,McGrath Highway,,,3.0,1
2560,,Franklin Street,,42.361892,0,-71.130333,Boston,N Harvard St @ Kingsley St,North Harvard Street,,,3.0,1
333,,Busway,,42.338284,0,-71.031327,Boston,E 1st St @ City Point Bus Terminal,East First Street,,,3.0,1
4167,,Hills Street,,42.197378,0,-71.061267,Randolph,N Main St @ Hills St,North Main Street,,,3.0,1
7919,,Drake Road,,42.425322,0,-71.189411,Arlington,Massachusetts Ave opp Drake Rd,Massachusetts Avenue,,,3.0,1
5219,,Bradfield Avenue,,42.290298,0,-71.140829,Boston,Centre St @ Bradfield Ave,Centre Street,,,3.0,1
843,,Dent Street,,42.281377,0,-71.159686,Boston,Lagrange St @ Dent St,La Grange Street,,,3.0,1
70234,,,Dean Road - Green Line - Park Street & North,42.337628,0,-71.142309,Brookline,Dean Road,,,Park Street & North,0.0,2
2288,,Brattle Street,,42.420463,0,-71.169933,Arlington,Massachusetts Ave @ Brattle St,Massachusetts Avenue,,,3.0,1
1239,,Church Street,,42.34818,0,-71.067595,Boston,Tremont St @ Marginal St,Tremont Street,,,3.0,1
5826,,Beach Street,,42.407203,0,-71.010246,Revere,Winthrop Ave @ Beach St,Winthrop Avenue,,,3.0,1
6143,,Chatham Street,,42.471625,0,-70.934655,Lynn,Essex St @ Chatham St,Essex Street,,,3.0,1
node-state-oldstate-fareunpaid,,,State - Unpaid side of fare gates,,3,,Boston,State,,,,,1
436,,Thetford Avenue,,42.286419,0,-71.079551,Boston,Norfolk St @ Charles Rd,Norfolk Street,,,3.0,1
501,,Pleasant Hill Avenue,,42.278153,0,-71.072729,Boston,Gallivan Blvd @ Nevada St,Gallivan Boulevard,,,3.0,2
3193,,Lincoln Avenue,,42.263566,0,-71.017689,Quincy,Newport Ave @ Lincoln Ave,Newport Avenue,,,3.0,1
3662,,Curtis Street,,42.240647,0,-70.944161,Weymouth,North St opp Curtis St,North Street,,,3.0,1
7357,,Averill Street,,42.487182,0,-70.964721,Lynn,Lynnfield St @ Averill St,Lynnfield Street,,,3.0,1
NHRML-0218-B1,,,North Billerica - Commuter Rail Shuttle,42.593132,0,-71.281252,Billerica,North Billerica - West Parking Lot,,,Commuter Rail Shuttle - West Parking Lot,3.0,1
89609,,,,42.397559,0,-71.253762,Waltham,Totten Pond Rd @ Winter St,Totten Pond Road,,,3.0,1
570,,Saint Gregory Street,,42.275594,0,-71.067229,Boston,Dorchester Ave @ St Gregory St,Dorchester Avenue,,,3.0,1
CM-0564-S,,,Bourne - CapeFLYER - Track 1 (All Trains),41.746497,0,-70.588772,Bourne,Bourne,,1,Track 1 (All Trains),2.0,1
3877,,Highland Avenue,,42.192026,0,-71.006572,Braintree,Hancock St @ Highland Ave,Hancock Street,,,3.0,1
3996,,Diman Avenue,,42.128749,0,-71.008903,Holbrook,S Franklin St @ Diman Ave,South Franklin Street,,,3.0,1
3931,,Hobart Avenue,,42.208851,0,-71.003654,Braintree,Washington St opp Hobart Ave,Washington Street,,,3.0,1
node-bbsta-w57stairs-platform,,,Back Bay - Bottom of Tracks 5-7 west stairs,,3,,Boston,Back Bay,,,,,1
6409,,Faraday Street,,42.244059,0,-71.123604,Boston,Washington St @ Faraday St,Washington Street,,,3.0,1
node-rugg-crstairs-lobby,,,Ruggles - Top of Commuter Rail (Tracks 1 & 3) platform stairs,,3,,Boston,Ruggles,,,,,1
node-bmmnl-378stair-lobby,,,Beachmont - Bottom of stairs for Bowdoin,42.397377,3,-70.992599,Revere,Beachmont,,,,,1
6626,,Emerald Road,,42.425708,0,-70.926173,Nahant,Spring Rd @ Emerald Rd,Spring Road,,,3.0,1
4230,,,,42.133687,0,-71.039778,Avon,Main St opp Demarco Park,North Main Street,,,3.0,1
70129,,,Griggs Street - Green Line - (B) Boston College,42.348919,0,-71.134305,Boston,Griggs Street,,,Boston College,0.0,2
6357,,Way Street,,42.256236,0,-71.12058,Boston,River St @ Way St,River Street,,,3.0,1
8212,,Elliot Street,,42.312554,0,-71.221176,Newton,Oak St @ Elliot St,Oak Street,,,3.0,1
6715,,Pond Street,,42.480159,0,-71.00644,Saugus,Opp 323 Walnut St,Walnut Street,,,3.0,1
6405,,Dana Avenue,,42.24676,0,-71.118824,Boston,Washington St @ Dana Ave,Washington Street,,,3.0,1
2143,,Edgemoor Road,,42.392231,0,-71.163816,Belmont,Concord Ave @ Edgemoor Rd,Concord Avenue,,,3.0,1
2674,,Cutter Avenue,,42.395122,0,-71.119331,Somerville,Highland Ave @ Cutter Ave,Highland Avenue,,,3.0,1
2429,,Pemberton Street,,42.392521,0,-71.125386,Cambridge,Rindge Ave @ Pemberton St,Rindge Avenue,,,3.0,1
70105,,,Braintree - Red Line,42.207424,0,-71.001645,Braintree,Braintree,,,Red Line,1.0,1
7442,,Chestnut Street,,42.458849,0,-70.989327,Saugus,30 Lincoln Ave,Lincoln Avenue,,,3.0,1
480,,Bradlee Street,,42.297467,0,-71.072631,Boston,Washington St @ Algonquin St,Washington Street,,,3.0,1
node-qnctr-elevfareunpaid,,,Quincy Center - Unpaid side of Elevator 810 fare gates,42.251538,3,-71.00522,Quincy,Quincy Center,,,,,1
8436,,Pleasant Street,,42.428863,0,-71.206655,Lexington,Massachusetts Ave opp Pleasant St,Massachusetts Avenue,,,3.0,1
node-341-lobby,,,Davis - Top of Escalator 341,,3,,Somerville,Davis,,,,,1
NEC-2287-01,,,South Station - Commuter Rail - Track 1,42.351302,0,-71.05571,Boston,South Station,,1,Commuter Rail - Track 1,2.0,1
6535,,Devonshire Street,,42.355521,0,-71.057253,Boston,Franklin St @ Devonshire St,Franklin Street,,,3.0,1
door-jfk-oldcolony,,,"JFK/UMass - Busway, JFK Library, Mount Vernon St (Stairs)",42.320829,2,-71.051623,Boston,"JFK/UMass - Busway, JFK Library, Mount Vernon St (Stairs)",,,,,2
ER-0362-02,,,Newburyport - Commuter Rail - Track 2,42.797837,0,-70.87797,Newburyport,Newburyport,,2,Track 2,2.0,1
1615,,,,42.25809,0,-71.144959,Boston,Georgetowne Dr @ Margaretta Dr,Georgetowne Drive,,,3.0,1
3944,,Holmes Street,,42.230354,0,-71.00531,Braintree,Opp 41 Independence Ave,Independence Avenue,,,3.0,1
node-mvbcl-lewfareunpaid,,,Maverick - Unpaid side of Lewis Mall fare gates,42.368184,3,-71.040301,Boston,Maverick,,,,,1
20761,,,Harvard - Upper Busway,42.374217,0,-71.11897,Cambridge,Harvard,Harvard Busway,,Upper Busway,3.0,1
9159,,Hall Street,,42.410994,0,-71.089816,Medford,Riverside Ave @ Hall St,Riverside Avenue,,,3.0,1
4931,,Pound Lane,,42.535074,0,-70.929826,Peabody,Andover St @ Pound Ln,Andover Street,,,3.0,1
76052,,Russell Street,,42.375512,0,-71.249977,Waltham,South St @ Russell St,South Street,,,3.0,1
NEC-2265-01,,,Ruggles - Commuter Rail - Track 1,42.336339,0,-71.089517,Boston,Ruggles,,1,Commuter Rail - Track 1,2.0,1
5637,,Victoria Street,,42.4064,0,-71.054381,Everett,Chelsea St @ Victoria St,Chelsea Street,,,3.0,1
5104,,College Avenue,Davis - Busway,42.396646,0,-71.121879,Somerville,Davis,Busway,,Busway,3.0,1
525,,Wellington Hill Street,,42.28537,0,-71.093181,Boston,Morton St @ Greendale Rd,Morton Street,,,3.0,1
14548,,,,42.504419,0,-70.921548,Salem,Highland Ave @ Hawthorne Sq,Highland Avenue,,,3.0,1
PB-0281-S,,,Halifax - Commuter Rail - Track 1 (All Trains),42.014739,0,-70.824263,Halifax,Halifax,,1,Track 1 (All Trains),2.0,1
node-state-ogoldstatehousestairs-nbplatform,,,"State - Bottom of stairs between Oak Grove platform and State St, Devonshire St",,3,,Boston,State,,,,,1
2419,,Pitcher Avenue,,42.421038,0,-71.139183,Medford,High St @ Pitcher Ave,High Street,,,3.0,0
5689,,Irving Street,,42.403156,0,-71.04637,Everett,Chelsea St @ Irving St,Chelsea Street,,,3.0,1
node-770-bottom,,,Medford/Tufts - Bottom of Elevator 770,42.407966,3,-71.117009,Medford,Medford/Tufts,,,,,1
5441,,Cross Street,,42.431174,0,-71.054536,Malden,Salem St @ Granville Ave,Salem Street,,,3.0,0
FR-0201,,,Concord - Commuter Rail,42.456565,0,-71.357677,Concord,Concord,,,Commuter Rail,2.0,2
node-998-ol,,,Downtown Crossing - Top of elevator between Alewife platform and Oak Grove platform,,3,,Boston,Downtown Crossing,,,,,1
MM-0200,,,Brockton - Commuter Rail,42.084659,0,-71.016534,Brockton,Brockton,,,Commuter Rail,2.0,1
5538,,Allston Street,,42.411196,0,-71.016755,Revere,Park Ave @ Allston St,Park Avenue,,,3.0,1
10768,,Grove Street,,42.268863,0,-71.161907,Boston,Centre St @ Grove St,Centre Street,,,3.0,1
16538,,Summer Street,,42.354271,0,-71.059508,Boston,Chauncy St @ Summer St,Chauncey Street,,,3.0,1
9096,,Faxon Street,,42.453896,0,-71.056828,Melrose,Grove St @ Gooch St,Grove Street,,,3.0,1
3618,,Bayview Street,,42.2428,0,-70.954102,Weymouth,Bridge St @ Bayview St,Bridge Street,,,3.0,1
5585,,,,42.410236,0,-71.013618,Revere,40 Park Ave,Park Avenue,,,3.0,1
6104,,Washington Street,,42.516983,0,-70.893016,Salem,Lafayette St @ Harbor St,Lafayette Street,,,3.0,1
49797,,,,42.516176,0,-71.250897,Bedford,7 Oak Park Dr,Oak Park Drive,,,3.0,1
1470,,Olney Street,,42.305319,0,-71.06809,Boston,Bowdoin St @ Norton St,Bowdoin Street,,,3.0,1
node-923-platform,,,Aquarium - Bottom of elevator between Bowdoin platform and Atlantic Avenue,,3,,Boston,Aquarium,,,,,1
2422,,Webcowet Road,,42.418504,0,-71.14606,Arlington,Medford St @ Webcowet Rd,Medford Street,,,3.0,1
70130,,,Harvard Avenue - Green Line - Park Street & North,42.350263,0,-71.131298,Boston,Harvard Avenue,,,Park Street & North,0.0,1
door-shmnl-sydney,,,Savin Hill - South Sydney St,42.310856,2,-71.053701,Boston,Savin Hill - South Sydney St,,,,,1
16001,,Whittier Street,,42.454298,0,-71.077159,Melrose,Wyoming Ave @ Melbourne Ave,West Wyoming Avenue,,,3.0,1
3985,,Woodlawn Avenue,,42.123766,0,-71.012296,Holbrook,1002 S Franklin St,South Franklin Street,,,3.0,1
node-jfk-ashcolstair-lobby,,,"JFK/UMass - Top of stairs from Ashmont, Alewife platform and Columbia Road",42.321284,3,-71.052585,Boston,JFK/UMass,,,,,1
ER-0183-01,,,Beverly - Commuter Rail - Track 1 (Outbound),42.547276,0,-70.885432,Beverly,Beverly,,1,Track 1 (Outbound),2.0,1
2083,,Chilton Street,,42.381198,0,-71.137926,Cambridge,Huron Ave @ Gurney St,Huron Avenue,,,3.0,1
